chrY	165		7	5
chrY	1079	6	5
chrY	1210	7	6
chrY	1445	4	4
chrY	1601	10	9
chrY	1642	6	5
chrY	1888	6	5
chrY	2344	4	3
chrY	2398	4	3
chrY	2841	8	5
chrY	2850	8	6
chrY	2996	6	4
chrY	4201	4	1
chrY	4495	8	6
chrY	4864	4	4
chrY	4879	5	5
chrY	7828	3	1
chrY	8329	2	2
chrY	8436	1	1
chrY	8717	1	0
chrY	11408	1	1
chrY	14595	3	2
chrY	17205	3	3
chrY	17261	11	6
chrY	17580	1	1
chrY	19281	5	2
chrY	19327	3	2
chrY	20022	1	1
chrY	20319	5	3
chrY	20426	1	1
chrY	20517	5	5
chrY	20563	2	2
chrY	20753	1	1
chrY	20788	1	1
chrY	22613	3	3
chrY	22622	3	3
chrY	22657	3	3
chrY	23748	1	1
chrY	23824	2	2
chrY	23908	3	3
chrY	24087	2	2
chrY	24927	4	2
chrY	25008	2	2
chrY	25259	6	6
chrY	25929	1	1
chrY	25993	1	1
chrY	26004	1	1
chrY	26419	1	1
chrY	26454	2	1
chrY	26468	4	4
chrY	26472	5	5
chrY	26488	6	6
chrY	26499	6	6
chrY	26519	6	6
chrY	26521	5	5
chrY	26529	5	5
chrY	26533	5	5
chrY	26568	8	8
chrY	26606	19	15
chrY	26628	20	19
chrY	26644	21	19
chrY	26650	19	19
chrY	26658	12	11
chrY	26684	4	4
chrY	26693	3	3
chrY	26726	1	1
chrY	27775	1	0
chrY	28305	6	6
chrY	28310	6	6
chrY	28314	6	6
chrY	28369	15	13
chrY	28380	15	14
chrY	29464	6	6
chrY	29494	11	11
chrY	29507	12	12
chrY	29522	11	10
chrY	29533	8	8
chrY	29540	8	8
chrY	29547	6	6
chrY	29556	5	5
chrY	29565	4	4
chrY	29578	1	1
chrY	29950	2	2
chrY	30241	3	3
chrY	30257	3	3
chrY	30264	4	4
chrY	30278	4	4
chrY	30299	6	6
chrY	30302	6	6
chrY	30319	3	3
chrY	30324	3	3
chrY	30344	4	4
chrY	30349	6	6
chrY	30359	7	7
chrY	30364	5	5
chrY	30372	5	5
chrY	30389	6	5
chrY	30391	6	6
chrY	30399	8	8
chrY	30403	8	8
chrY	30438	7	6
chrY	30476	7	5
chrY	30498	6	6
chrY	30514	5	5
chrY	30520	5	5
chrY	30528	6	5
chrY	30554	4	4
chrY	30563	4	4
chrY	30596	3	3
chrY	30643	4	4
chrY	30683	5	5
chrY	30696	6	6
chrY	30699	6	5
chrY	30711	6	5
chrY	30755	2	2
chrY	30757	2	2
chrY	30765	2	2
chrY	30779	2	2
chrY	30783	2	2
chrY	30804	1	1
chrY	30820	2	2
chrY	30840	2	2
chrY	30844	2	2
chrY	30850	2	0
chrY	30861	2	2
chrY	30866	2	2
chrY	30886	1	0
chrY	30904	1	0
chrY	30931	1	1
chrY	30979	2	2
chrY	31522	2	2
chrY	31544	3	3
chrY	31551	2	2
chrY	32121	5	3
chrY	32186	2	1
chrY	32276	6	5
chrY	32545	8	7
chrY	32565	8	7
chrY	32663	8	7
chrY	32814	7	3
chrY	33083	5	5
chrY	33333	9	9
chrY	33448	2	2
chrY	34045	3	0
chrY	34376	3	3
chrY	34543	3	0
chrY	35243	7	4
chrY	35774	6	6
chrY	35903	3	3
chrY	35953	4	4
chrY	36337	2	2
chrY	36379	3	2
chrY	36472	2	2
chrY	36676	8	8
chrY	36694	8	8
chrY	36828	8	7
chrY	36844	13	12
chrY	37006	8	8
chrY	37095	3	3
chrY	37225	4	4
chrY	37279	5	3
chrY	37289	4	4
chrY	37382	4	3
chrY	37428	4	4
chrY	37473	5	4
chrY	37479	5	4
chrY	37511	6	6
chrY	37516	5	4
chrY	37568	12	11
chrY	37585	12	10
chrY	37600	14	12
chrY	37743	4	3
chrY	37813	3	3
chrY	38026	1	1
chrY	38044	1	0
chrY	38048	1	1
chrY	38176	4	4
chrY	38208	5	4
chrY	38286	4	4
chrY	38419	5	5
chrY	38425	6	6
chrY	38444	8	7
chrY	38485	11	11
chrY	38495	10	9
chrY	38518	10	10
chrY	38537	9	8
chrY	38560	5	5
chrY	38571	5	5
chrY	38597	4	4
chrY	38620	2	2
chrY	38624	2	2
chrY	38633	2	2
chrY	38706	4	4
chrY	38724	3	3
chrY	38728	3	3
chrY	38744	1	1
chrY	38748	1	1
chrY	38762	1	1
chrY	38769	1	1
chrY	38800	2	2
chrY	38805	2	2
chrY	38808	2	2
chrY	38825	2	1
chrY	38868	2	1
chrY	38931	7	6
chrY	38947	7	7
chrY	38974	10	9
chrY	39073	4	4
chrY	39085	5	5
chrY	39140	6	5
chrY	39253	2	2
chrY	39311	5	5
chrY	39332	5	5
chrY	39359	3	3
chrY	39371	1	1
chrY	39374	1	1
chrY	39407	1	1
chrY	39437	3	3
chrY	39446	3	3
chrY	39525	6	5
chrY	39559	6	5
chrY	39595	8	7
chrY	39601	8	7
chrY	39664	4	3
chrY	39672	3	2
chrY	39684	3	2
chrY	39725	5	4
chrY	40054	9	9
chrY	40081	10	10
chrY	40111	7	5
chrY	40409	8	7
chrY	40457	11	9
chrY	40534	13	13
chrY	40628	16	13
chrY	40667	11	9
chrY	40880	4	4
chrY	40894	3	3
chrY	40896	3	3
chrY	40902	2	2
chrY	40906	2	2
chrY	40941	4	4
chrY	41000	3	2
chrY	41008	3	2
chrY	41034	3	2
chrY	41043	3	2
chrY	41076	5	5
chrY	41084	5	5
chrY	41089	5	5
chrY	41131	4	2
chrY	41135	4	2
chrY	41174	3	3
chrY	41187	5	5
chrY	41190	5	5
chrY	41202	4	3
chrY	41249	5	5
chrY	41252	5	5
chrY	41285	6	4
chrY	41361	4	3
chrY	41421	4	3
chrY	41687	2	2
chrY	42384	3	3
chrY	42409	3	3
chrY	42418	2	2
chrY	42679	1	1
chrY	42719	1	1
chrY	42872	1	1
chrY	44001	4	4
